a        吖啊嗄腌锕阿
yuan        元冤原员园圆圜垣垸塬媛怨愿掾援橼沅渊源爰猿瑗眢箢缘芫苑螈袁辕远院鸢鸳鼋
yue        乐刖哕岳悦曰月栎樾瀹粤约说越跃钥钺阅龠
yun        云允匀孕恽愠昀晕殒氲熨狁筠纭耘芸蕴运郓郧酝陨韫韵

za        匝咂咋拶杂砸
zai        再哉在子宰崽栽灾甾载
zan        咱攒昝暂瓒簪糌赞趱錾
zang        奘脏臧葬赃驵
zao        凿唣噪早枣澡灶燥皂糟藻蚤躁造遭
zei        贼
zeng        增憎曾甑综缯罾赠锃
zen        怎谮
ze        仄则咋啧帻择昃泽笮箦舴责赜迮
zhai        债宅寨摘斋瘵砦窄翟
zhang        丈仉仗嫜嶂帐幛张彰掌杖樟涨漳獐璋瘴章胀蟑账鄣长障
zhan        占展崭战搌斩旃栈毡沾湛盏瞻站粘绽蘸詹谵辗
zhao        兆召找招昭朝棹沼照爪着笊罩肇诏赵钊
zha        乍吒咋咤哳喳扎揸札柞栅楂榨渣炸痄眨砟蚱诈轧铡闸齄
zhe        乇哲折摺柘浙着磔者蔗蛰蜇螫褶谪赭辄辙这遮锗鹧
zhen        侦圳帧振斟朕枕桢椹榛浈珍甄畛疹真砧祯稹箴缜胗臻蓁诊贞赈轸针镇阵震鸩
zheng        争峥征徵怔拯挣政整正狰症睁筝蒸证诤郑钲铮
zhi        之侄值制卮只吱咫址埴峙帙帜彘志忮执指挚掷摭支旨智枝枳栀栉桎植止殖汁治滞炙痔痣直知祉秩稚窒絷纸织置职肢胝脂膣至致芝芷蛭蜘觯豸质贽趾跖踬踯轵轾郅酯陟雉骘鸷黹
zhong        中仲众冢忠忪盅种终肿舯螽衷踵重钟锺
zhou        周咒啁妯宙州帚昼洲皱碡籀粥繇纣绉肘胄舟荮诌轴酎骤
zhu        主伫住侏助嘱属拄朱杼柱株槠橥注洙渚潴炷烛煮猪珠疰瘃瞩祝竹竺筑箸翥舳苎茱著蛀蛛诛诸贮躅逐邾铢铸驻麈
zhua        抓挝爪   
zhuai        拽
zhuan        专传啭撰砖篆赚转颛馔
zhuang        僮壮妆幢庄撞桩状装
zhui        坠惴椎缀缒萑赘追锥隹骓
zhun        准屯窀肫谆
zhuo        倬卓啄拙捉擢斫桌浊浞涿濯灼琢着禚茁诼酌镯
zi        仔兹呲咨姊姿子字孜孳嵫恣梓淄渍滋滓眦秭笫籽粢紫缁耔自茈觜訾谘赀资趑辎锱髭鲻龇
zong        偬宗总棕粽纵综腙踪鬃
zou        奏揍诹走邹鄹陬驺鲰
zu        俎卒族祖租组菹诅足镞阻
zuan        攥纂缵躜钻
zui        嘴最罪蕞觜醉
zun        尊撙樽遵鳟
zuo        佐作做唑嘬坐左座怍昨柞祚笮胙酢阼
